시각UTC,종목,코드,시장,전략,신호기준일,종가신호,현재포지션,진입일,관측거래일,완료거래,승률,PF,전진누적수익,전진MDD,트래커,업데이트,동결검증
2026-08-09T05:50:06+00:00,Chevron,CVX,US,반전,2026-08-07,현금/청산,CASH,-,1,0,,,0.0,0.0,paper-forward-1.0,,
2026-08-09T06:08:48+00:00,Chevron,CVX,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.1-replay,NO_NEW_BAR,
2026-08-09T06:08:48+00:00,Visa,V,US,반전,2026-08-07,현금/청산,CASH,-,1,0,,,0.0,0.0,paper-forward-1.1-replay,NEW_BAR,
2026-08-09T06:08:49+00:00,Mastercard,MA,US,반전,2026-08-07,현금/청산,CASH,-,1,0,,,0.0,0.0,paper-forward-1.1-replay,NEW_BAR,
2026-08-09T06:13:08+00:00,Chevron,CVX,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.1-replay,NO_NEW_BAR,
2026-08-09T06:13:08+00:00,Visa,V,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.1-replay,NO_NEW_BAR,
2026-08-09T06:13:09+00:00,Mastercard,MA,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.1-replay,NO_NEW_BAR,
2026-08-09T06:31:47+00:00,Chevron,CVX,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.2-frozen-admission,NO_NEW_BAR,FROZEN_VERIFIED
2026-08-09T06:31:47+00:00,Visa,V,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.2-frozen-admission,NO_NEW_BAR,FROZEN_VERIFIED
2026-08-09T06:31:47+00:00,Mastercard,MA,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.2-frozen-admission,NO_NEW_BAR,FROZEN_VERIFIED
2026-08-09T06:35:18+00:00,Chevron,CVX,US,반전,2026-08-07,대기,CASH,-,1,0,,,0.0,0.0,paper-forward-1.2-frozen-admission,NO_NEW_BAR,FROZEN_VERIFIED
